predict,label
0.5626879930496216,0
0.5724812150001526,0
0.5753389000892639,0
0.5896800756454468,1
0.559148371219635,0
0.5677844882011414,0
0.5885056853294373,1
0.565655529499054,1
0.5836707949638367,1
0.5811967253684998,1
0.5917779207229614,1
0.5734164118766785,1
0.5801753997802734,1
0.5659226179122925,0
0.549712061882019,0
0.5702921748161316,1
0.5590144395828247,0
0.5751667022705078,1
0.5641480088233948,0
0.563149631023407,0
0.5617714524269104,0
0.5804567933082581,1
0.5562186241149902,0
0.5900372862815857,1
0.5762079954147339,1
0.5747568011283875,0
0.5855379104614258,1
0.5556647181510925,0
0.5682628154754639,1
0.5639922618865967,1
0.5742167830467224,1
0.5671787858009338,0
0.5673835277557373,0
0.5630261301994324,0
0.5772395730018616,0
0.5622159838676453,0
0.5541041493415833,0
0.5712111592292786,1
0.5762901902198792,0
0.5671787858009338,0
0.5829404592514038,1
0.5604093074798584,0
0.5836325287818909,1
0.5169016718864441,0
0.5788956880569458,1
0.5822153091430664,1
0.5712141394615173,0
0.5624207258224487,0
0.559172511100769,0
0.5671151280403137,0
0.5640402436256409,1
0.5596982836723328,0
0.5788034796714783,1
0.557692289352417,0
0.5728356242179871,1
0.5747687220573425,0
0.5761565566062927,1
0.5817587971687317,1
0.5598071813583374,1
0.5835144519805908,1
0.5762117505073547,0
0.5544525980949402,1
0.5465473532676697,1
0.5578985214233398,0
0.5561990737915039,0
0.5993731021881104,1
0.5714942216873169,1
0.5913060903549194,1
0.5738288164138794,1
0.593906819820404,0
0.5792884230613708,1
0.5645708441734314,0
0.5874885320663452,1
0.5564073324203491,0
0.5581216812133789,1
0.5695134997367859,1
0.567780613899231,0
0.5670126676559448,1
0.561841607093811,1
0.5807011127471924,1
0.5683739185333252,0
0.5842582583427429,1
0.5732816457748413,1
0.5793821215629578,1
0.5827159285545349,1
0.6037067174911499,1
0.5599970817565918,0
0.5680956840515137,0
